"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.68479705060555","89.68479705060555","0","0.0304058987888709","0.0304058987888709","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_237d648310\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_237d648310\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.48158394686396","89.48158394686396","0","0.03683210627201561","0.03683210627201561","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_37b34f83d8\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_37b34f83d8\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot16|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.79703270927939","89.79703270927939","0","0.0059345814412381515","0.0059345814412381515","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_33639d072f\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_33639d072f\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot17|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.81255380382038","89.81255380382038","0","0.025107607640677543","0.025107607640677543","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_e0b99f053a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_e0b99f053a\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot18|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.80648422434825","89.80648422434825","0","0.012968448696540236","0.012968448696540236","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_427332f712\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_427332f712\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot19|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.79087656040531","89.79087656040531","0","0.01824687918937684","0.01824687918937684","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_f9ce5b8682\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_f9ce5b8682\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot20|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.72272284695926","89.72272284695926","0","0.04544569391850928","0.04544569391850928","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_fd92d466c7\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_fd92d466c7\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot21|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.72314126572287","89.72314126572287","0","0.04628253144568362","0.04628253144568362","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_05f7be2eb1\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_05f7be2eb1\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.70065639706878","89.70065639706878","0","0.00131279413758989","0.00131279413758989","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_8b581c0594\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_8b581c0594\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.7005758359365","89.7005758359365","0","0.001151671873003579","0.001151671873003579","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_c8c3699c7f\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_c8c3699c7f\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.6903645480839","89.6903645480839","0","0.01927090383213681","0.01927090383213681","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_4db31d07ef\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_4db31d07ef\back_notch"
"BackSide_BowComp\Lot_62625-957\62625-957_20260729124737\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.68660945424297","89.68660945424297","0","0.02678109151409558","0.02678109151409558","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-957_62625-957_2_ae16b27075\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-957_62625-957_2_ae16b27075\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802111846\Slot21|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.91051160482337","89.91051160482337","0","0.021023209646671148","0.021023209646671148","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_415562a7b8\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_415562a7b8\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802111846\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.90226725655648","89.90226725655648","0","0.004534513113014782","0.004534513113014782","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_2be1a12c69\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_2be1a12c69\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802111846\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.98284997971746","89.98284997971746","0","0.03430004056508551","0.03430004056508551","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_c500960f10\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_c500960f10\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802111846\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.89568878970195","89.89568878970195","0","0.008622420596111624","0.008622420596111624","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_ce5140971a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_ce5140971a\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802111846\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.00620593253666","90.00620593253666","0","0.012411865073261197","0.012411865073261197","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_fd8237ade9\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_fd8237ade9\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802120300\Slot21|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.00508391622634","90.00508391622634","0","0.010167832452651737","0.010167832452651737","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_fb0da8115c\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_fb0da8115c\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802120300\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.01771382555086","90.01771382555086","0","0.03542765110171331","0.03542765110171331","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_7fc3b70a53\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_7fc3b70a53\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802120300\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.01260486162681","90.01260486162681","0","0.02520972325359594","0.02520972325359594","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_19d4e66b81\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_19d4e66b81\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802120300\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.07961758590766","90.07961758590766","0","0.040764828184649105","0.040764828184649105","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_95ca541027\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_95ca541027\back_notch"
"BackSide_BowComp\Lot_62627-140\62627-140_20260802120300\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.07807095460446","90.07807095460446","0","0.04385809079113301","0.04385809079113301","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-140_62627-140_2_945f73760d\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-140_62627-140_2_945f73760d\back_notch"
"BackSide_BowComp\Lot_62627-174\62627-174_20260730160310\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.71245465075238","89.71245465075238","0","0.024909301504692394","0.024909301504692394","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-174_62627-174_2_36365996e5\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-174_62627-174_2_36365996e5\back_notch"
"BackSide_BowComp\Lot_62627-174\62627-174_20260730160310\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.78130177807975","89.78130177807975","0","0.03739644384057783","0.03739644384057783","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-174_62627-174_2_475d771777\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-174_62627-174_2_475d771777\back_notch"
"BackSide_BowComp\Lot_62627-174\62627-174_20260730160310\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.72754848281564","89.72754848281564","0","0.055096965631207695","0.055096965631207695","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-174_62627-174_2_9a428a488b\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-174_62627-174_2_9a428a488b\back_notch"
"BackSide_BowComp\Lot_62627-174\62627-174_20260730160310\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.50783662466029","89.50783662466029","0","0.015673249320570903","0.015673249320570903","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-174_62627-174_2_63f1c52c18\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-174_62627-174_2_63f1c52c18\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot16|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.08575178713487","90.08575178713487","0","0.028496425730224928","0.028496425730224928","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_91574d5e4c\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_91574d5e4c\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot17|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.92084783706454","89.92084783706454","0","0.04169567412907327","0.04169567412907327","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_1efc6ba843\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_1efc6ba843\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot18|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.94354021288783","89.94354021288783","0","0.08708042577566744","0.08708042577566744","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_22de84775a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_22de84775a\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot19|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.99604175265392","89.99604175265392","0","0.007916494692210563","0.007916494692210563","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_a1690c217c\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_a1690c217c\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot20|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.98162832989601","89.98162832989601","0","0.03674334020797687","0.03674334020797687","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_80bdb35cc9\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_80bdb35cc9\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot21|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.01924445654856","90.01924445654856","0","0.03848891309718283","0.03848891309718283","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_439d281682\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_439d281682\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.01281333830588","90.01281333830588","0","0.025626676611750554","0.025626676611750554","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_b2b25cc9a8\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_b2b25cc9a8\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.99222556961047","89.99222556961047","0","0.01554886077900619","0.01554886077900619","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_0bf1bed6b4\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_0bf1bed6b4\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot24|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.01601386667147","90.01601386667147","0","0.03202773334297149","0.03202773334297149","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_613306da8f\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_613306da8f\back_notch"
"BackSide_BowComp\Lot_62627-198-POST-IVS\62627-198-POST-IVS_20260730103451\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.20618796019149","90.20618796019149","0","0.012375920382908134","0.012375920382908134","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_15926c92c0\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62627-198-POST-IVS_62_15926c92c0\back_notch"
