"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot21|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62628-233_62628-233_20260_6bbdcca9d3\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62628-233_62628-233_20260_6bbdcca9d3\back_notch"
"Coherent_W2W\Lot_62628-233\62628-233_20260729063218\Slot19|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62628-233_62628-233_20260_6be4485d4e\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62628-233_62628-233_20260_6be4485d4e\back_notch"
"Coherent_W2W\Lot_62628-233\62628-233_20260729063218\Slot21|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62628-233_62628-233_20260_3923c7cab0\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62628-233_62628-233_20260_3923c7cab0\back_notch"
"PST_BREAK_RESIST\Lot_62617-215D_20260715122804\62617-215D_20260715122804\Slot25|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BREAK_RESIST_Lot_62617-215D_2026071512_d741e04641\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BREAK_RESIST_Lot_62617-215D_2026071512_d741e04641\back_notch"
"PST_BRK_PATTERNED_BOWCOMP\Lot_62624-803\62624-803_20260720171228\Slot04|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_8981042acb\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_8981042acb\back_notch"
"PST_BRK_PATTERNED_BOWCOMP\Lot_62624-803\62624-803_20260720171228\Slot12|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_d3def30fb9\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_d3def30fb9\back_notch"
"PST_BRK_PATTERNED_BOWCOMP\Lot_62624-803\62624-803_20260720171228\Slot14|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_ac844e6365\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_ac844e6365\back_notch"
"PST_BRK_PATTERNED_BOWCOMP\Lot_62624-803\62624-803_20260720171228\Slot20|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_ae1f199942\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRK_PATTERNED_BOWCOMP_Lot_62624-803_62_ae1f199942\back_notch"
"PST_BRKFULLMETAL_BOWCOMP\Lot_62624-803\62624-803_20260720153252\Slot14|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRKFULLMETAL_BOWCOMP_Lot_62624-803_626_75c1ebb0a5\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRKFULLMETAL_BOWCOMP_Lot_62624-803_626_75c1ebb0a5\back_notch"
"PST_BRKFULLMETAL_BOWCOMP\Lot_62624-803\62624-803_20260720153252\Slot20|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRKFULLMETAL_BOWCOMP_Lot_62624-803_626_ebf591a01e\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRKFULLMETAL_BOWCOMP_Lot_62624-803_626_ebf591a01e\back_notch"
"PST_BRKFULLMETAL\Lot_LotIDStringNotSet\ProcessJob11\Slot19|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRKFULLMETAL_Lot_LotIDStringNotSet_Pro_c614a0bd3a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRKFULLMETAL_Lot_LotIDStringNotSet_Pro_c614a0bd3a\back_notch"
"PST_BRKFULLMETAL\Lot_LotIDStringNotSet\ProcessJob11\Slot25|BACK","SAME_HOLD","HOLD_BACK_NOTCH_CHANNEL_ANALYSIS_FAILED","HOLD_BACK_NOTCH_CHANNEL_ANALYSIS_FAILED","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PST_BRKFULLMETAL_Lot_LotIDStringNotSet_Pro_a9bfffc487\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\PST_BRKFULLMETAL_Lot_LotIDStringNotSet_Pro_a9bfffc487\back_notch"
